x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,Unnamed: 0,x_clhs,y_clhs,z,t,code,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
107719.9979,183326.6793,26.1909152,40954.67,56.35169266739969,60.08414500808891,53.4258847929007,69.5160374791226,38.61468971282981,59.164624620050255,0.99,0.96,1.04,0.15,1.31,-3.69,5166,107720.118,183326.96,26.1909152,40954.67,1,10,6.6,15.16,22.84,42.132,35.028,19.3,3.9,1.617,0.27619,22,25.9,21.7,18.4,0.031327621669965396,0.01283,0.03073875500664068,181.91613473973518,0.1415937702597306,0.13904059414391473,49.98538164380796,119.0344679007284,69.19519461349121,41.09333694305481,24.707217504435786,18.81386825007818,119.0344679007284,111.62164834580972,0.036516
107755.6395,183331.2104,26.8825864,42473.18,15.69298424259865,20.58161697103417,22.32955208633614,24.625304221029893,32.82462043548812,30.537492105936145,0.97,1.04,1.01,0.45,1.3,-2.5,19244,107755.589,183331.1,26.8951584,42473.18,2,10,6.36,6.33,10.27,50.16,39.569,12.2,2.4,1.698,0.25845,14,23.3,16.8,7.5,0.01703016528782021,0.00409,0.01763633548371393,63.896354986478286,0.10643853304887631,0.11022311654079167,39.625438744592174,38.11125300060545,20.50449954959582,21.56896503653911,28.61408284083075,35.28335879730878,38.11125300060545,37.06390609218291,0.016459
107797.4476,183278.6469,28.4585888,42812.37,99.61229618804754,70.69626209693575,125.75478973096992,94.33861969049406,139.26706565804128,126.98369151618552,0.96,1.04,1.06,0.49,1.71,-2.57,22350,107797.402,183278.579,28.4706568,42812.37,3,10,6.6,9.75,14.066,45.87,40.063,17.2,3.4,1.529,0.27,1,25.6,19.5,12.8,0.024946765143411105,0.00886,0.024627772166788367,127.03895682028724,0.1287574975143799,0.12720218325915125,45.72944840521276,122.61321859919674,114.700168197936,131.75672003341495,149.4171398662714,159.1254385178209,122.61321859919674,115.74085827303631,0.025741
107763.959,183318.2535,27.3376096,42491.37,6.6738846699627805,16.55985614344549,9.433811689304887,17.152473945645713,26.593314919257946,16.64711634515045,0.97,1.04,1.02,0.47,1.32,-2.9,19352,107763.816,183318.112,27.3446688,42491.37,4,10,6.33,5.8,11.237,47.195,41.568,12.8,2.6,1.636,0.26113,13,24.2,14.0,5.6,0.013138134568614724,0.00232,0.013350533549309528,35.04812809742835,0.10510507654891779,0.10683727306405863,38.40822100028706,29.454443454582705,7.867036144552586,7.598791542861736,17.52150011703867,29.20570020699456,29.454443454582705,27.985228194138653,0.018351
107723.0048,183309.1898,26.586,40592.63,69.97382165422825,68.50048040634749,65.2329028774429,80.28469659991156,43.08165872581044,70.8390042300373,1.0,0.97,1.02,0.25,1.31,-3.02,1556,107723.005,183309.182,26.586,40592.63,5,10,6.6,16.57,26.081,39.904,34.015,23.0,4.6,1.524,0.28979,9,24.2,20.3,16.8,0.02900479844691781,0.01138,0.029473707453231416,171.91711109859247,0.1423548390032776,0.14470093458811026,52.02028575996948,136.8220982928751,84.8842851051852,52.23412662648053,29.88452399131805,18.903225169860598,136.8220982928751,133.13814807538296,0.044555
107742.7404,183330.3354,26.664,41813.36,29.331521991906683,31.18590496207165,34.43185739949402,40.27986346924766,33.50269814677892,42.73773727150047,0.97,1.01,1.01,0.32,1.28,-3.06,14669,107742.651,183330.207,26.664,41906.95,6,10,6.5,9.941,15.97,45.215,38.815,16.8,3.4,1.626,0.30258,16,24.6,23.8,15.5,0.03032204272878833,0.01221,0.030556715336313534,181.72484973667147,0.12251330395470031,0.12351616540819775,44.404317351507004,61.60661195984778,38.67522426296886,32.21242384763046,30.54886494053197,30.445489557797742,61.60661195984778,58.751203539982114,0.029569
107805.4925,183273.6275,28.6522848,42915.67,95.20419103271898,60.08414500808891,127.00161586263498,83.0947713508458,153.11621714734886,121.58127579878008,0.96,1.03,1.06,0.37,1.8,-3.18,23383,107805.822,183273.987,28.65,42915.67,7,10,6.56,9.868,15.173,44.224,40.602,17.8,3.6,1.643,0.23186,2,26.2,15.0,9.4,0.01872077011101166,0.00504,0.01825761312143071,70.66696960372656,0.13615105535281205,0.13289336194053908,47.775438931532186,93.83688565912306,92.67337142238809,121.44658573616344,151.7684133379119,170.31631695999525,93.83688565912306,87.16871427386448,0.021222
107758.6659,183312.5732,27.35,42107.27,14.62841072668204,23.50672603512893,18.651054383386608,26.49391407202521,31.47100625613257,28.823507530468447,0.98,1.01,1.02,0.39,1.36,-2.79,15706,107758.685,183312.601,27.35,42107.27,8,10,7.23,6.785,12.324,45.037,42.639,15.5,3.1,1.602,0.25825,405,21.9,16.7,8.8,0.018851409065389353,0.00512,0.020117102219763094,84.27454945343018,0.11874903348276758,0.12663707708633437,45.526291565360026,43.23265776998442,19.019603698822827,16.96789171136373,23.64534846862332,31.56240866166232,43.23265776998442,43.42194721268992,0.019365
107776.6894,183310.7317,27.5510368,42797.16,45.2344971690345,30.820204608460887,63.02442461663164,44.253700353382655,81.38244535854285,67.58359307077806,0.95,1.05,1.0,0.5,1.44,-2.67,22198,107776.692,183310.756,27.5510368,42797.16,9,10,6.56,6.147,11.631,49.871,38.498,12.5,2.5,1.575,0.25897,11,23.9,16.3,7.3,0.016559194475144978,0.00384,0.016932936461671922,58.66332973236309,0.1077020778871218,0.11015498655929974,39.60094587510159,72.00778035218809,64.74278457560462,75.82530723864397,87.82664279496449,94.39138229437434,72.00778035218809,69.85176068998867,0.019185
107726.3815,183318.7508,26.563,40950.86,80.37026400040284,72.89213302944692,81.9970041775892,91.9956833560452,55.09249962779661,91.74669907664438,0.99,0.98,1.01,0.24,1.37,-3.35,5128,107726.371,183318.719,26.563,40950.86,10,10,6.56,15.774,25.914,38.833,35.253,25.9,5.2,1.635,0.27443,24,23.3,20.8,18.1,0.03035432992037498,0.01223,0.03143475925286159,191.06416173218324,0.1445444281922618,0.14968392458623764,53.81168098750905,147.0276453547385,101.34940401515564,72.56846890173749,48.24288749617523,31.56295737960739,147.0276453547385,145.9462499461117,0.037889
