,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,107719.9979,183326.6793,19.142895945799484,44.110758969017795,77.08786792700585,61.93835998123043,147.26711518971973,100.47901185696665,117.24221187939182,75.99199584967948,1,-1.1080640679345377
1,107755.6395,183331.2104,21.043876003009622,41.662020176077974,58.810615857009196,62.08769300363853,150.71559124807666,114.97953585267683,103.12320308579527,86.52924231059973,2,-1.1080640679345377
2,107797.4476,183278.6469,25.96018374999405,86.82519099957163,155.56229020120588,205.6367029264211,219.02735006211057,152.97948344191354,118.38010656782244,104.17804233585619,3,-1.1080640679345377
3,107764.0831,183318.0822,28.32600031416969,53.137867367522134,93.77515548875279,89.84469491333002,106.55396061443795,96.31469036512519,100.62279215791062,81.11631383875144,4,-1.1080640679345377
4,107723.0048,183309.1898,19.28877165448379,68.42079262558624,126.28518714752198,100.69008476652179,114.50392737351076,106.89326269746103,99.57609913708491,70.54721077003968,5,-1.1080640679345377
5,107742.871,183330.0981,30.437328650010258,35.04766867812633,57.615233026478904,117.29419588825623,156.88087336074202,98.42733945271692,106.4787993649603,80.38243481589771,6,-1.1080640679345377
6,107806.7161,183274.99,48.34455206444291,89.31349112559907,125.06633053233301,147.5315225980927,177.06601966951004,182.43727490041428,129.0033810259605,99.5572765241124,7,-1.1080640679345377
7,107758.6659,183312.5732,22.528251969333855,43.57025047455813,69.02736443644221,60.95515698606924,99.84744383691883,142.69061642868283,120.37639230984958,64.06243538687907,8,-1.1080640679345377
8,107775.383,183309.8767,18.212930568044523,61.299875882053726,106.15566668126066,101.0259183925613,110.99220159353204,108.60786593020012,121.54996436551164,91.48162263167855,9,-1.1080640679345377
9,107726.3815,183318.7508,42.16468420859638,77.04786697391143,98.22459720982685,113.31471538133161,114.999912692728,102.21522335456568,105.50004145011663,70.18352847138596,10,-1.1080640679345377
10,107766.4694,183327.2822,36.47230910858095,55.660748370143544,88.34977022745683,84.37229809811,102.48403694672382,88.41580515082693,106.08530189586686,70.61079710182646,11,-1.1080640679345377
11,107777.0025,183299.3846,34.06994273859701,59.810007356432266,104.75122822216554,108.401139125925,130.07881693188293,115.28182555627626,104.58862401429703,76.05675818784935,12,-1.1080640679345377
12,107752.314,183298.7686,45.73705370109928,54.679715147982975,89.71325216608535,117.92455933851774,109.1535837670205,86.4108563574723,109.57604597306077,65.60630623712113,13,-1.1080640679345377
13,107732.7209,183327.4299,34.32106601006253,50.72814538793559,75.11097503270956,79.46519083552151,96.11507008161647,158.90618398001456,99.30474844144372,69.2340701025038,14,-1.1080640679345377
14,107776.5235,183291.4178,37.29328340779693,80.7311493416201,83.61171607940923,85.42906153896938,125.84724920234125,137.11358469859778,109.63870601428074,90.44304707677091,15,-1.1080640679345377
