,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,41564.53508,204206.635,65.51494974313643,165.97355007134308,261.3880186741866,388.51900047150355,446.54480107618724,2001,-0.8821805909957199
1,41548.70351,204311.6093,69.85123755714919,130.423171596931,266.68707660756365,336.8081794883452,350.6988521847559,2002,-0.8821805909957199
2,41589.68646,204167.8156,53.683930677528416,157.10452242860282,308.98729145297193,467.6112729293149,526.9511060292955,2003,-0.8821805909957199
3,41668.92012,204238.2888,63.85138536009099,162.67945535318506,329.16959243050064,418.3224284588488,579.3218389307355,2004,-0.8821805909957199
4,41521.64592,204334.5815,63.33747210025142,191.88414012479967,293.4393274822387,427.3477823941709,502.7482000899559,2005,-0.8821805909957199
5,41617.05436,204259.0171,59.860210199871105,121.47811359697333,244.8928020376539,394.0643156243506,490.0044578597481,2006,-0.8821805909957199
6,41576.95294,204271.2311,49.30253870451517,111.99774428692757,221.13258296383194,361.5984383223427,412.12022340036833,2007,-0.8821805909957199
7,41533.54743,204357.0333,45.31190126748201,184.71486298330836,279.95369784756946,358.38308149134735,402.79782398455774,2008,-0.8821805909957199
8,41642.94946,204299.055,56.897278679775546,161.8198220216195,240.60749240731337,292.30670214845014,340.5924199699656,2009,-0.8821805909957199
9,41701.0223,204261.7069,60.55966911220046,170.88802437178802,320.0032186007896,549.0607173467854,605.3698274735821,2010,-0.8821805909957199
10,41513.61527,204286.1329,61.87674425614994,187.36230757256772,334.5857992811656,364.0545271406662,473.75783948140423,2011,-0.8821805909957199
11,41619.48192,204273.3088,53.98599795682567,163.89940373899805,243.05043871380008,351.8851884117585,349.6761708421318,2012,-0.8821805909957199
12,41684.4859,204247.3604,75.07689412480272,193.04778018914556,380.4044266350558,560.7451425983185,666.6313516227641,2013,-0.8821805909957199
13,41591.14582,204181.2118,59.317268314655905,158.47690731085288,308.0522207607778,461.16666326567133,578.4950810302059,2014,-0.8821805909957199
14,41563.2081,204364.9004,79.84204852499379,265.6499640087736,301.1596858108088,395.48054794768353,415.21211042837143,2015,-0.8821805909957199
