,Unnamed: 0,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,0,41564.53508,204206.635,57.667144235667365,76.24954887014928,164.0193085293606,119.16250956734724,244.89456263588076,321.5938908269754,433.41322661973663,560.9562361296036,2001,-0.0514088999569393
1,1,41548.70351,204311.6093,49.27788296730574,47.14539386832362,119.80496673918796,152.2887886077381,303.0907832477536,276.95232865091793,382.27681082448106,382.5558952085376,2002,-0.0514088999569393
2,2,41589.68646,204167.8156,47.304514656430726,33.92031853115996,105.2831607826822,195.0196890620895,294.101699555563,406.6723120253346,602.8124102257566,786.8956302901574,2003,-0.0514088999569393
3,3,41668.92012,204238.2888,38.304745852367134,64.65633515594837,181.48577416954788,242.41769197264009,283.6669872992466,394.0313268775984,536.41891731182,609.4327920561292,2004,-0.0514088999569393
4,4,41521.64592,204334.5815,56.31426811331401,60.99336371061795,244.29552255222973,231.03321367529105,215.3708378825941,437.8864852350947,563.1169296280477,544.6827401898511,2005,-0.0514088999569393
5,5,41617.05436,204259.0171,59.86797420681933,62.67640413724546,84.7057009105127,135.9520097534621,205.25670136242576,484.30086291368445,520.7581897564,400.9297396712782,2006,-0.0514088999569393
6,6,41576.95294,204271.2311,37.659661392894094,59.52627322316225,87.25922661436145,240.4669815186261,175.65853352493397,241.48903350966364,372.2211594498257,415.5899845341761,2007,-0.0514088999569393
7,7,41533.54743,204357.0333,43.11949649469889,77.96481829911849,148.85501996894763,246.9794292271524,225.8691914878516,291.297762800676,350.99410067968824,408.619213163778,2008,-0.0514088999569393
8,8,41642.94946,204299.055,48.66994396441198,77.2758959842484,148.18868534222682,184.67603682527675,206.448881608324,286.2501985272725,361.80880625989454,393.1234152997555,2009,-0.0514088999569393
9,9,41701.0223,204261.7069,45.85811075727831,59.12752975285894,181.3721409031525,193.9432360613836,304.8567140413514,445.7649338831964,675.4635950911578,768.7345878175902,2010,-0.0514088999569393
10,10,41513.61527,204286.1329,46.00686151904294,64.49977835213777,142.2675932505134,202.04078476626552,281.0362755074259,388.1116589533096,483.11070518307474,517.7009427917502,2011,-0.0514088999569393
11,11,41619.48192,204273.3088,50.303531164381305,54.51122638099015,113.23508381691848,148.45542040669318,280.396267566727,226.6599231859092,283.3559603442708,366.1404118428933,2012,-0.0514088999569393
12,12,41684.4859,204247.3604,51.94838343369491,43.30313585046609,135.73623510092585,217.3587881983724,432.0298263204551,660.0827931048614,761.8501183664658,806.8993683654152,2013,-0.0514088999569393
13,13,41591.14582,204181.2118,51.32552200481236,42.63255459416226,118.48262585031792,178.56112503759795,223.61538490027863,453.3604674475169,558.9696941959171,590.8264258947032,2014,-0.0514088999569393
14,14,41563.2081,204364.9004,57.04249714322861,63.86705275414452,174.01910320668276,223.1600497404233,380.01227779380486,345.5075997482468,423.4849119044612,397.33939317139306,2015,-0.0514088999569393
