,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos
0,107719.9937888889,183326.6925333333,129.40199596927874,88.37275816512206,64.7305048046572,48.35071426309797,38.2306799498395,32.569038538991734,29.982694059275595,29.576497115704083,1
1,107755.86151818182,183331.1214,48.20749912601055,23.68005473330522,16.38385477413747,15.582872275300318,19.86765108394637,26.504656463485148,33.01971742644028,38.188719025664426,2
2,107797.93544545454,183278.9048727273,117.62681964812413,94.15686939443205,101.30547620084889,116.3223668748603,134.96859644471436,152.07795541071826,164.79624012886916,173.21378852146813,3
3,107764.40281538464,183318.4132153846,44.40390750737137,14.039776331354444,0.5356630641593307,-4.018959908499848,0.388234999011821,11.126900298135919,23.944037626634042,35.119335049900855,4
4,107723.42537142856,183309.4027142857,162.87341419854587,114.59016274555972,85.07935883721726,63.180708117182014,47.66404303774843,36.82003895580284,29.811797969640008,26.285064799982386,5
5,107742.897625,183330.1258375,73.98474676805357,45.78297508484357,34.901451978530176,30.13228975918929,29.846092289738127,31.581209350042005,33.649700268857124,35.55305538193153,6
6,107806.755275,183274.783715,105.28135449598861,77.54343860041341,85.9118662405522,104.32378091450917,128.0685302563994,150.74941302254777,168.19418898606526,179.86227708324463,7
7,107758.59206,183312.54344,49.35282347195279,22.994715754696927,12.180887959167007,8.778682773384679,12.411689483817666,20.757123589507316,30.545165481874417,39.08143331839933,8
8,107776.02779,183310.31861,70.01229167302411,50.25362710281907,53.44379125692334,62.92217765020086,75.64485103981512,87.68260013618679,96.70056015932452,102.6280162579441,9
9,107726.3215,183318.8376333333,165.94183262338134,120.79662036368194,97.25310728220519,80.16945609047664,66.9391661001992,55.34312405672241,45.54750188081197,38.935274749016514,10
10,107766.74172,183327.35406,37.67485423602126,16.23603287431942,11.128768377092312,12.653197905421754,19.78661024839008,29.85499223170514,39.8682433053756,47.871159612510475,11
11,107777.31210000002,183299.6196181818,66.12325020724121,48.05363878067145,54.70836266122506,68.02536554704889,84.67450395754958,100.26302408811786,112.04330526984529,119.80490999391394,12
12,107751.80372307693,183298.45846153845,126.06323951209856,88.62105300721052,75.54385126661116,69.52670422201396,67.44459526710995,65.91434165625459,63.850920908551004,62.169135616300174,13
13,107732.68432857144,183327.4764857143,96.15960423373377,67.07030486611136,60.133614435931435,59.518151551889844,62.29952319662306,65.06350253523175,66.35985502606229,66.81617854538493,14
14,107776.3765111111,183291.22352222225,98.75107974167024,74.32865064529038,75.3764608942936,83.69488280794097,96.13263925827825,108.56062401003378,118.41398218426282,125.33042495990756,15
