Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,41565.59265666668,204206.96052222225,21.094073613493823,197.87251652979853,279.2473042812378,268.71624862224064,429.2068177123024,2001
1,41549.1776,204310.533875,39.61774204667464,139.1952458082241,220.2333546930596,237.6284726630664,286.04738628938634,2002
2,41589.569225,204168.115775,45.97009133085529,224.76705021373544,295.55389474449817,332.7014325473406,447.4165199240864,2003
3,41668.75582,204238.61746666665,28.966890885586903,141.70856456014425,240.1434725892621,365.8249003836184,390.0588494596236,2004
4,41521.489305,204334.882175,62.815521082446864,203.51296801652032,291.3088157171135,379.2448793315164,424.9619322243518,2005
5,41617.044348,204259.03512,30.946979051284764,195.37905868139205,330.9398506599433,361.9608272766254,329.88702140866496,2006
6,41576.955798,204271.22694,36.19313355088581,163.58551288009605,82.82763473763313,108.13031809266325,305.6895484315569,2007
7,41532.757848,204357.01175,47.43475000022213,222.507100608124,231.0965735219416,285.30417576966306,343.2032833641027,2008
8,41642.451125,204298.9764,36.71952333169389,152.5907697046418,262.0961646723987,302.96629100246975,286.02524200359284,2009
9,41701.9493775,204262.2071625,60.33792144985401,164.79870975085052,338.6308554505638,453.3472340526334,477.5266686297518,2010
10,41513.514865000005,204286.3595,65.60412088259159,221.0561037863819,277.1050249724201,235.90897360849328,324.1347541489543,2011
11,41619.62907333334,204273.00583333336,46.448883226635445,113.63582156143552,197.7118094542401,222.92436661894837,211.7511093266045,2012
12,41684.651975,204247.00405,45.83481067459445,279.3582765209285,344.40822115199734,500.7935423946074,500.9174352456917,2013
13,41591.159478,204181.23082,65.34232655584191,90.59974077116009,210.177837277818,369.83213080821446,348.60419016236386,2014
14,41562.70514875,204364.9238625,49.59788703380316,213.74170286021936,269.4386897098969,302.04267315476227,456.74901195043566,2015
